,Date & Time,User IP,Method,Url,Query String,Agent IP,Browser Type,OS,Url_Category,Agent_IP_Category,Login Type,HTTP Status,Test1,Win 32 Status,Sub Status
69891,2015-03-01 01:48:10,118.244.228.205,GET,/wap/lastread.asp,comicId=12437&chapterId=132975&_=1425174576068,1.61.3.30,Mozilla,2,23,10,0,200,0,0,164
69892,2015-03-01 01:48:10,118.244.228.205,GET,/wap/load.asp,comicId=12437&chapterId=132975&imageId=0&_=1425174576069,1.61.3.30,Mozilla,2,26,10,0,200,0,0,125
69902,2015-03-01 01:48:10,118.244.228.205,GET,/wap/init.asp,comicId=12554&chapterId=138858&_=1425174575331,223.104.17.158,Mozilla,1,21,1006,1,200,0,0,295
69923,2015-03-01 01:48:11,118.244.228.205,GET,/wap/lastread.asp,comicId=12554&chapterId=138858&_=1425174575332,223.104.17.158,Mozilla,1,23,1006,1,200,0,0,1258
69929,2015-03-01 01:48:11,118.244.228.205,GET,/wap/load.asp,comicId=12554&chapterId=138858&imageId=0&_=1425174575333,223.104.17.158,Mozilla,1,26,1006,1,200,0,0,1050
70009,2015-03-01 01:48:20,118.244.228.205,GET,/wap/info.asp,id=12452,42.156.139.24,YisouSpider,2,20,1062,0,200,0,0,228
70021,2015-03-01 01:48:21,118.244.228.205,GET,/wap/login.asp,-,42.156.137.24,YisouSpider,2,27,1060,0,200,0,0,77
70025,2015-03-01 01:48:22,118.244.228.205,GET,/wap/read.asp,chapterId=136572&comicId=12337,42.120.160.24,YisouSpider,2,31,1057,0,200,0,0,173
70035,2015-03-01 01:48:23,118.244.228.205,GET,/wap/info.asp,id=12327&page=5,42.156.138.24,YisouSpider,2,20,1061,0,200,0,0,167
70048,2015-03-01 01:48:25,118.244.228.205,GET,/wap/read.asp,chapterId=136342&comicId=12337,42.156.139.24,YisouSpider,2,31,1062,0,200,0,0,164
70064,2015-03-01 01:48:26,118.244.228.205,GET,/wap/info.asp,id=12337&page=10,42.156.137.24,YisouSpider,2,20,1060,0,200,0,0,216
70075,2015-03-01 01:48:26,118.244.228.205,GET,/wap/next.asp,comicId=12308&chapterId=127379&_=1425174543715,221.205.38.36,Mozilla,1,29,974,1,200,0,0,107
70076,2015-03-01 01:48:26,118.244.228.205,GET,/wap/read.asp,chapterId=126472&comicId=12327,42.156.138.24,YisouSpider,2,31,1061,0,200,0,0,191
70123,2015-03-01 01:48:29,118.244.228.205,GET,/wap/read.asp,chapterId=134799&comicId=12362,42.120.161.24,YisouSpider,2,31,1058,0,200,0,0,170
70447,2015-03-01 01:48:57,118.244.228.205,GET,/wap/info.asp,id=12441,115.133.221.5,Mozilla,0,20,302,1,200,0,0,3637
70483,2015-03-01 01:49:01,118.244.228.205,GET,/wap/read.asp,chapterId=133726&comicId=12441,115.133.221.5,Mozilla,0,31,302,1,200,0,0,489
70493,2015-03-01 01:49:02,118.244.228.205,GET,/wap/init.asp,comicId=12441&chapterId=133726&_=1425174628900,115.133.221.5,Mozilla,0,21,302,1,200,0,0,460
70500,2015-03-01 01:49:03,118.244.228.205,GET,/wap/load.asp,comicId=12441&chapterId=133726&imageId=0&_=1425174628902,115.133.221.5,Mozilla,0,26,302,1,200,0,0,512
70510,2015-03-01 01:49:03,118.244.228.205,GET,/wap/lastread.asp,comicId=12441&chapterId=133726&_=1425174628901,115.133.221.5,Mozilla,0,23,302,1,200,0,0,1464
70575,2015-03-01 01:49:08,118.244.228.205,GET,/wap/next.asp,comicId=12437&chapterId=132975&_=1425174576075,1.61.3.30,Mozilla,2,29,10,0,200,0,0,126
70682,2015-03-01 01:49:19,118.244.228.205,GET,/wap/read.asp,chapterId=135572&comicId=12483,180.153.206.33,Mozilla,2,31,825,0,200,0,0,214
71142,2015-03-01 01:49:56,118.244.228.205,GET,/wap/info.asp,id=12566,175.188.34.216,Mozilla,0,20,785,1,200,0,0,141
71213,2015-03-01 01:50:03,118.244.228.205,GET,/wap/login.asp,uri=aHR0cDovL2Jhb21hbmh1YS5uZXQvd2FwL2luZm8uYXNwP2lkPTEyNTY2,175.188.34.216,Mozilla,0,27,785,1,200,0,0,44
71278,2015-03-01 01:50:07,118.244.228.205,GET,/wap/read.asp,chapterId=139165&comicId=12566,175.188.34.216,Mozilla,0,31,785,1,200,0,0,285
71289,2015-03-01 01:50:10,118.244.228.205,GET,/wap/init.asp,comicId=12566&chapterId=139165&_=1425174698175,175.188.34.216,Mozilla,0,21,785,1,200,0,0,192
71290,2015-03-01 01:50:10,118.244.228.205,GET,/wap/lastread.asp,comicId=12566&chapterId=139165&_=1425174698176,175.188.34.216,Mozilla,0,23,785,1,200,0,0,193
71291,2015-03-01 01:50:10,118.244.228.205,GET,/wap/load.asp,comicId=12566&chapterId=139165&imageId=0&_=1425174698177,175.188.34.216,Mozilla,0,26,785,1,200,0,0,139
71553,2015-03-01 01:50:36,118.244.228.205,GET,/baomanhuaadmin/qTcms_MakeHtml/makealldetail.asp,selAnnounce=12450&back=../qTcms_Comics/index.asp&bf=c,180.175.238.219,Mozilla,2,10,840,0,200,0,0,155
71637,2015-03-01 01:50:43,118.244.228.205,GET,/wap/next.asp,comicId=12566&chapterId=139165&_=1425174698178,175.188.34.216,Mozilla,0,29,785,1,200,0,0,78
72159,2015-03-01 01:51:18,118.244.228.205,GET,/wap/info.asp,id=12658,211.136.233.158,Mozilla,0,20,918,1,200,0,64,207
72217,2015-03-01 01:51:21,118.244.228.205,GET,/wap/read.asp,chapterId=143214&comicId=12658,211.136.233.158,Mozilla,0,31,918,1,200,0,0,214
72237,2015-03-01 01:51:22,118.244.228.205,GET,/wap/init.asp,comicId=12658&chapterId=143214&_=1425174773597,211.136.233.158,Mozilla,0,21,918,1,200,0,0,154
72240,2015-03-01 01:51:22,118.244.228.205,GET,/wap/lastread.asp,comicId=12658&chapterId=143214&_=1425174773598,211.136.233.158,Mozilla,0,23,918,1,200,0,64,160
72244,2015-03-01 01:51:22,118.244.228.205,GET,/wap/load.asp,comicId=12658&chapterId=143214&imageId=0&_=1425174773599,211.136.233.158,Mozilla,0,26,918,1,200,0,64,155
72354,2015-03-01 01:51:30,118.244.228.205,GET,/wap/next.asp,comicId=12591&chapterId=139948&_=1425174580645,59.85.153.25,Mozilla,2,29,1193,0,200,0,0,184
72454,2015-03-01 01:51:39,118.244.228.205,GET,/wap/record.asp,-,175.171.2.130,Mozilla,1,32,783,1,200,0,0,758
72557,2015-03-01 01:51:48,118.244.228.205,GET,/wap/info.asp,id=12631,175.171.71.228,Mozilla,1,20,784,1,200,0,0,223
72643,2015-03-01 01:51:55,118.244.228.205,GET,/wap/read.asp,chapterId=141757&comicId=12631,175.171.71.228,Mozilla,1,31,784,1,200,0,0,140
72646,2015-03-01 01:51:55,118.244.228.205,GET,/wap/init.asp,comicId=12631&chapterId=141757&_=1425174808195,175.171.71.228,Mozilla,1,21,784,1,200,0,0,79
72647,2015-03-01 01:51:55,118.244.228.205,GET,/wap/lastread.asp,comicId=12631&chapterId=141757&_=1425174808196,175.171.71.228,Mozilla,1,23,784,1,200,0,0,100
72649,2015-03-01 01:51:55,118.244.228.205,GET,/wap/load.asp,comicId=12631&chapterId=141757&imageId=0&_=1425174808197,175.171.71.228,Mozilla,1,26,784,1,200,0,0,74
73225,2015-03-01 01:52:40,118.244.228.205,GET,/wap/info.asp,id=12596,175.171.2.130,Mozilla,1,20,783,1,200,0,0,326
73369,2015-03-01 01:52:49,118.244.228.205,GET,/wap/info.asp,id=12539,101.228.128.164,Mozilla,1,20,55,1,200,0,0,284
73474,2015-03-01 01:52:57,118.244.228.205,GET,/wap/info.asp,id=12633,111.37.8.165,Mozilla,1,20,170,1,200,0,64,542
73691,2015-03-01 01:53:12,118.244.228.205,GET,/wap/prev.asp,comicId=12596&chapterId=140286&_=1425174876202,175.171.2.130,Mozilla,1,30,783,1,200,0,0,224
73961,2015-03-01 01:53:32,118.244.228.205,GET,/wap/read.asp,chapterId=141754&comicId=12630,123.150.182.203,Mozilla,0,31,511,1,200,0,0,128
73990,2015-03-01 01:53:33,118.244.228.205,GET,/wap/init.asp,comicId=12630&chapterId=141754&_=1425175248440,120.5.25.199,Mozilla,0,21,469,1,200,0,0,96
73991,2015-03-01 01:53:33,118.244.228.205,GET,/wap/lastread.asp,comicId=12630&chapterId=141754&_=1425175248441,120.5.25.199,Mozilla,0,23,469,1,200,0,0,86
73996,2015-03-01 01:53:33,118.244.228.205,GET,/wap/load.asp,comicId=12630&chapterId=141754&imageId=1&_=1425175248443,120.5.25.199,Mozilla,0,26,469,1,200,0,0,90
74118,2015-03-01 01:53:42,118.244.228.205,GET,/wap/prev.asp,comicId=12630&chapterId=141754&_=1425175248446,120.5.25.199,Mozilla,0,30,469,1,200,0,0,73
74263,2015-03-01 01:53:57,118.244.228.205,GET,/wap/info.asp,id=12397,113.0.188.119,Mozilla,0,20,211,1,200,0,0,186
74316,2015-03-01 01:54:02,118.244.228.205,GET,/wap/read.asp,chapterId=131210&comicId=12397,113.0.188.119,Mozilla,0,31,211,1,200,0,0,183
74335,2015-03-01 01:54:04,118.244.228.205,GET,/wap/lastread.asp,comicId=12397&chapterId=131210&_=1425174839038,113.0.188.119,Mozilla,0,23,211,1,200,0,0,117
74337,2015-03-01 01:54:04,118.244.228.205,GET,/wap/init.asp,comicId=12397&chapterId=131210&_=1425174839037,113.0.188.119,Mozilla,0,21,211,1,200,0,0,148
74339,2015-03-01 01:54:04,118.244.228.205,GET,/wap/load.asp,comicId=12397&chapterId=131210&imageId=0&_=1425174839039,113.0.188.119,Mozilla,0,26,211,1,200,0,0,109
74360,2015-03-01 01:54:06,118.244.228.205,GET,/wap/next.asp,comicId=12631&chapterId=141757&_=1425174808248,175.171.71.228,Mozilla,1,29,784,1,200,0,0,79
74648,2015-03-01 01:54:28,118.244.228.205,GET,/wap/info.asp,id=12337,42.89.74.163,Mozilla,1,20,1077,1,200,0,0,250
74746,2015-03-01 01:54:35,118.244.228.205,GET,/wap/read.asp,chapterId=141827&comicId=12633,111.37.8.165,Mozilla,1,31,170,1,200,0,0,446
74781,2015-03-01 01:54:37,118.244.228.205,GET,/wap/info.asp,id=12491,221.213.149.221,Mozilla,0,20,975,1,200,0,0,12705
74867,2015-03-01 01:54:46,118.244.228.205,GET,/wap/read.asp,chapterId=143063&comicId=12337,42.89.74.163,Mozilla,1,31,1077,1,200,0,0,180
74870,2015-03-01 01:54:47,118.244.228.205,GET,/wap/init.asp,comicId=12337&chapterId=143063&_=1425174984835,42.89.74.163,Mozilla,1,21,1077,1,200,0,0,96
74872,2015-03-01 01:54:47,118.244.228.205,GET,/wap/lastread.asp,comicId=12337&chapterId=143063&_=1425174984836,42.89.74.163,Mozilla,1,23,1077,1,200,0,0,112
74874,2015-03-01 01:54:47,118.244.228.205,GET,/wap/load.asp,comicId=12337&chapterId=143063&imageId=1&_=1425174984838,42.89.74.163,Mozilla,1,26,1077,1,200,0,0,102
75014,2015-03-01 01:54:59,118.244.228.205,GET,/wap/init.asp,comicId=12633&chapterId=141827&_=1425174994834,111.37.8.165,Mozilla,1,21,170,1,200,0,0,265
75038,2015-03-01 01:55:01,118.244.228.205,GET,/wap/load.asp,comicId=12633&chapterId=141827&imageId=1&_=1425174994837,111.37.8.165,Mozilla,1,26,170,1,200,0,0,1261
75047,2015-03-01 01:55:02,118.244.228.205,GET,/wap/lastread.asp,comicId=12633&chapterId=141827&_=1425174994835,111.37.8.165,Mozilla,1,23,170,1,200,0,0,1257
75408,2015-03-01 01:55:35,118.244.228.205,GET,/wap/load.asp,comicId=12437&chapterId=141841&imageId=2&_=1425174879588,101.226.61.186,Mozilla,0,26,31,1,200,0,64,105
75505,2015-03-01 01:55:42,118.244.228.205,GET,/wap/next.asp,comicId=12591&chapterId=143014&_=1425174527077,183.195.232.39,Mozilla,0,29,872,1,200,0,64,79
75748,2015-03-01 01:56:01,118.244.228.205,GET,/wap/load.asp,comicId=12568&chapterId=139323&imageId=5&_=1425141798827,222.95.48.61,Mozilla,1,26,999,1,200,0,0,120
75983,2015-03-01 01:56:22,118.244.228.205,GET,/wap/record.asp,-,223.85.132.24,Mozilla,0,32,1028,1,200,0,64,146
76018,2015-03-01 01:56:25,118.244.228.205,GET,/wap/read.asp,chapterId=141297&comicId=12622,223.85.132.24,Mozilla,0,31,1028,1,200,0,64,194
76025,2015-03-01 01:56:27,118.244.228.205,GET,/wap/init.asp,comicId=12622&chapterId=141297&_=1425175084622,223.85.132.24,Mozilla,0,21,1028,1,200,0,64,124
76026,2015-03-01 01:56:27,118.244.228.205,GET,/wap/lastread.asp,comicId=12622&chapterId=141297&_=1425175084623,223.85.132.24,Mozilla,0,23,1028,1,200,0,0,128
76035,2015-03-01 01:56:27,118.244.228.205,GET,/wap/load.asp,comicId=12622&chapterId=141297&imageId=0&_=1425175084624,223.85.132.24,Mozilla,0,26,1028,1,200,0,64,119
76209,2015-03-01 01:56:37,118.244.228.205,GET,/wap/load.asp,comicId=12622&chapterId=141297&imageId=137&_=1425175084634,61.158.152.130,Mozilla,0,26,1211,1,200,0,0,155
76304,2015-03-01 01:56:43,118.244.228.205,GET,/wap/next.asp,comicId=12337&chapterId=143063&_=1425174984854,42.89.74.163,Mozilla,1,29,1077,1,200,0,0,195
76315,2015-03-01 01:56:44,118.244.228.205,GET,/wap/info.asp,id=12665,183.61.34.39,Mozilla,0,20,903,1,200,0,64,128
76361,2015-03-01 01:56:48,118.244.228.205,GET,/wap/load.asp,comicId=12337&chapterId=124532&imageId=28&_=1425172263211,218.82.88.174,Mozilla,0,26,945,1,200,0,0,394
76471,2015-03-01 01:56:55,118.244.228.205,GET,/wap/read.asp,chapterId=143296&comicId=12665,183.61.34.39,Mozilla,0,31,903,1,200,0,64,224
76506,2015-03-01 01:56:57,118.244.228.205,GET,/wap/init.asp,comicId=12665&chapterId=143296&_=1425175100372,183.61.34.39,Mozilla,0,21,903,1,200,0,0,106
76508,2015-03-01 01:56:57,118.244.228.205,GET,/wap/lastread.asp,comicId=12665&chapterId=143296&_=1425175100373,183.61.34.39,Mozilla,0,23,903,1,200,0,0,142
76515,2015-03-01 01:56:58,118.244.228.205,GET,/wap/load.asp,comicId=12665&chapterId=143296&imageId=1&_=1425175100375,183.61.34.39,Mozilla,0,26,903,1,200,0,64,103
77494,2015-03-01 01:58:06,118.244.228.205,GET,/wap/info.asp,id=12628,111.126.132.55,Mozilla,1,20,136,1,200,0,0,178
77543,2015-03-01 01:58:12,118.244.228.205,GET,/wap/read.asp,chapterId=141560&comicId=12628,111.126.132.55,Mozilla,1,31,136,1,200,0,0,179
77558,2015-03-01 01:58:12,118.244.228.205,GET,/wap/init.asp,comicId=12628&chapterId=141560&_=1425175198664,111.126.132.55,Mozilla,1,21,136,1,200,0,0,129
77559,2015-03-01 01:58:12,118.244.228.205,GET,/wap/lastread.asp,comicId=12628&chapterId=141560&_=1425175198665,111.126.132.55,Mozilla,1,23,136,1,200,0,0,163
77563,2015-03-01 01:58:12,118.244.228.205,GET,/wap/load.asp,comicId=12628&chapterId=141560&imageId=2&_=1425175198668,111.126.132.55,Mozilla,1,26,136,1,200,0,0,129
77607,2015-03-01 01:58:14,118.244.228.205,GET,/wap/info.asp,id=12336,113.0.38.81,Mozilla,1,20,212,1,200,0,0,307
77636,2015-03-01 01:58:16,118.244.228.205,GET,/wap/info.asp,id=12441,114.96.217.7,Mozilla,1,20,296,1,200,0,0,196
77703,2015-03-01 01:58:22,118.244.228.205,GET,/wap/read.asp,chapterId=131238&comicId=12402,113.0.38.81,Mozilla,1,31,212,1,200,0,0,287
77724,2015-03-01 01:58:23,118.244.228.205,GET,/wap/init.asp,comicId=12402&chapterId=131238&_=1425175205224,113.0.38.81,Mozilla,1,21,212,1,200,0,0,89
77725,2015-03-01 01:58:23,118.244.228.205,GET,/wap/lastread.asp,comicId=12402&chapterId=131238&_=1425175205225,113.0.38.81,Mozilla,1,23,212,1,200,0,0,101
77727,2015-03-01 01:58:23,118.244.228.205,GET,/wap/load.asp,comicId=12402&chapterId=131238&imageId=0&_=1425175205226,113.0.38.81,Mozilla,1,26,212,1,200,0,0,88
77755,2015-03-01 01:58:24,118.244.228.205,GET,/wap/read.asp,chapterId=134459&comicId=12441,114.96.217.7,Mozilla,1,31,296,1,200,0,0,252
77776,2015-03-01 01:58:26,118.244.228.205,GET,/wap/init.asp,comicId=12441&chapterId=134459&_=1425175209133,114.96.217.7,Mozilla,1,21,296,1,200,0,0,120
77778,2015-03-01 01:58:26,118.244.228.205,GET,/wap/lastread.asp,comicId=12441&chapterId=134459&_=1425175209134,114.96.217.7,Mozilla,1,23,296,1,200,0,0,188
77779,2015-03-01 01:58:26,118.244.228.205,GET,/wap/load.asp,comicId=12441&chapterId=134459&imageId=0&_=1425175209135,114.96.217.7,Mozilla,1,26,296,1,200,0,0,111
77984,2015-03-01 01:58:43,118.244.228.205,GET,/wap/info.asp,id=12472&page=4,180.172.164.194,Mozilla,1,20,839,1,200,0,0,381
78009,2015-03-01 01:58:45,118.244.228.205,GET,/wap/init.asp,comicId=12437&chapterId=142945&_=1425174879636,101.226.61.186,Mozilla,0,21,31,1,200,0,0,79
78056,2015-03-01 01:58:49,118.244.228.205,GET,/wap/read.asp,chapterId=142394&comicId=12472,180.172.164.194,Mozilla,1,31,839,1,200,0,0,257
78064,2015-03-01 01:58:50,118.244.228.205,GET,/wap/lastread.asp,comicId=12472&chapterId=142394&_=1425175234629,180.172.164.194,Mozilla,1,23,839,1,200,0,0,153
78065,2015-03-01 01:58:50,118.244.228.205,GET,/wap/init.asp,comicId=12472&chapterId=142394&_=1425175234628,180.172.164.194,Mozilla,1,21,839,1,200,0,0,184
78068,2015-03-01 01:58:50,118.244.228.205,GET,/wap/load.asp,comicId=12472&chapterId=142394&imageId=0&_=1425175234630,180.172.164.194,Mozilla,1,26,839,1,200,0,0,125
78110,2015-03-01 01:58:52,118.244.228.205,GET,/wap/next.asp,comicId=12402&chapterId=131238&_=1425175205231,113.0.38.81,Mozilla,1,29,212,1,200,0,0,302
78392,2015-03-01 01:59:13,118.244.228.205,GET,/wap/info.asp,id=12644,115.102.3.120,Mozilla,1,20,299,1,200,0,0,337
78453,2015-03-01 01:59:17,118.244.228.205,GET,/wap/read.asp,chapterId=142434&comicId=12644,115.102.3.120,Mozilla,1,31,299,1,200,0,0,199
78458,2015-03-01 01:59:17,118.244.228.205,GET,/wap/init.asp,comicId=12644&chapterId=142434&_=1425175262993,115.102.3.120,Mozilla,1,21,299,1,200,0,0,97
78460,2015-03-01 01:59:18,118.244.228.205,GET,/wap/lastread.asp,comicId=12644&chapterId=142434&_=1425175262994,115.102.3.120,Mozilla,1,23,299,1,200,0,0,180
78461,2015-03-01 01:59:18,118.244.228.205,GET,/wap/load.asp,comicId=12644&chapterId=142434&imageId=0&_=1425175262995,115.102.3.120,Mozilla,1,26,299,1,200,0,0,101
78604,2015-03-01 02:01:10,118.244.228.205,GET,/wap/info.asp,id=12458,101.226.66.178,Mozilla,2,20,37,0,200,0,0,226
78728,2015-03-01 02:01:23,118.244.228.205,GET,/wap/info.asp,id=12445,61.49.56.47,Mozilla,0,20,1221,1,200,0,64,78
78762,2015-03-01 02:01:25,118.244.228.205,GET,/wap/read.asp,chapterId=133259&comicId=12445,61.49.56.47,Mozilla,0,31,1221,1,200,0,64,135
78767,2015-03-01 02:01:26,118.244.228.205,GET,/wap/load.asp,comicId=12337&chapterId=128624&imageId=1&_=1425161870291,175.167.130.135,Mozilla,1,26,779,1,200,0,0,197
78779,2015-03-01 02:01:27,118.244.228.205,GET,/wap/is.asp,-,120.196.211.151,Mozilla,0,22,455,1,200,0,0,156
78780,2015-03-01 02:01:27,118.244.228.205,GET,/wap/init.asp,comicId=12445&chapterId=133259&_=1425175214763,61.49.56.47,Mozilla,0,21,1221,1,200,0,0,66
78781,2015-03-01 02:01:27,118.244.228.205,GET,/wap/lastread.asp,comicId=12445&chapterId=133259&_=1425175214764,61.49.56.47,Mozilla,0,23,1221,1,200,0,0,136
78782,2015-03-01 02:01:27,118.244.228.205,GET,/wap/is.asp,-,14.118.35.46,Mozilla,0,22,607,1,200,0,0,157
78784,2015-03-01 02:01:27,118.244.228.205,GET,/wap/load.asp,comicId=12445&chapterId=133259&imageId=0&_=1425175214765,61.49.56.47,Mozilla,0,26,1221,1,200,0,64,70
78829,2015-03-01 02:01:30,118.244.228.205,GET,/wap/next.asp,comicId=12472&chapterId=142394&_=1425175234636,180.172.164.194,Mozilla,1,29,839,1,200,0,0,553
78850,2015-03-01 02:01:33,118.244.228.205,GET,/wap/next.asp,comicId=12437&chapterId=142945&_=1425174879728,101.226.61.186,Mozilla,0,29,31,1,200,0,64,83
78948,2015-03-01 02:01:41,118.244.228.205,GET,/wap/search.asp,keyword=%E5%A6%96%E5%A6%96,14.118.35.46,Mozilla,0,35,607,1,200,0,0,166
78970,2015-03-01 02:01:42,118.244.228.205,GET,/wap/info.asp,id=12448,14.118.35.46,Mozilla,0,20,607,1,200,0,0,183
79128,2015-03-01 02:01:54,118.244.228.205,GET,/wap/info.asp,id=12480,209.123.120.198,Mozilla,2,20,908,0,200,0,0,600
79234,2015-03-01 02:02:00,118.244.228.205,GET,/wap/read.asp,chapterId=143125&comicId=12480,209.123.120.198,Mozilla,2,31,908,0,200,0,0,392
79236,2015-03-01 02:02:00,118.244.228.205,GET,/wap/read.asp,chapterId=133520&comicId=12448,14.118.35.46,Mozilla,0,31,607,1,200,0,0,226
79245,2015-03-01 02:02:01,118.244.228.205,GET,/wap/init.asp,comicId=12480&chapterId=143125&_=1425175322902,209.123.120.198,Mozilla,2,21,908,0,200,0,0,293
79247,2015-03-01 02:02:01,118.244.228.205,GET,/wap/load.asp,comicId=12480&chapterId=143125&imageId=0&_=1425175322904,209.123.120.198,Mozilla,2,26,908,0,200,0,0,292
79253,2015-03-01 02:02:02,118.244.228.205,GET,/wap/lastread.asp,comicId=12448&chapterId=133520&_=1425175322201,14.118.35.46,Mozilla,0,23,607,1,200,0,0,158
79255,2015-03-01 02:02:02,118.244.228.205,GET,/wap/init.asp,comicId=12448&chapterId=133520&_=1425175322200,14.118.35.46,Mozilla,0,21,607,1,200,0,0,262
79260,2015-03-01 02:02:02,118.244.228.205,GET,/wap/load.asp,comicId=12448&chapterId=133520&imageId=0&_=1425175322202,14.118.35.46,Mozilla,0,26,607,1,200,0,0,242
79264,2015-03-01 02:02:02,118.244.228.205,GET,/wap/lastread.asp,comicId=12480&chapterId=143125&_=1425175322903,209.123.120.198,Mozilla,2,23,908,0,200,0,0,285
79316,2015-03-01 02:02:06,118.244.228.205,GET,/wap/record.asp,-,180.172.164.194,Mozilla,1,32,839,1,200,0,0,636
79368,2015-03-01 02:02:11,118.244.228.205,GET,/wap/info.asp,id=12626,120.196.212.107,Mozilla,0,20,456,1,200,0,64,122
79475,2015-03-01 02:02:19,118.244.228.205,GET,/wap/info.asp,id=12337&page=5,175.167.130.135,Mozilla,1,20,779,1,200,0,0,297
79508,2015-03-01 02:02:21,118.244.228.205,GET,/wap/read.asp,chapterId=128362&comicId=12337,175.167.130.135,Mozilla,1,31,779,1,200,0,0,252
79525,2015-03-01 02:02:21,118.244.228.205,GET,/wap/init.asp,comicId=12337&chapterId=128362&_=1425175344867,175.167.130.135,Mozilla,1,21,779,1,200,0,0,184
79528,2015-03-01 02:02:21,118.244.228.205,GET,/wap/lastread.asp,comicId=12337&chapterId=128362&_=1425175344868,175.167.130.135,Mozilla,1,23,779,1,200,0,0,204
79647,2015-03-01 02:02:29,118.244.228.205,GET,/wap/read.asp,chapterId=141534&comicId=12626,120.196.212.107,Mozilla,0,31,456,1,200,0,64,174
79679,2015-03-01 02:02:31,118.244.228.205,GET,/wap/lastread.asp,comicId=12626&chapterId=141534&_=1425175352707,120.196.212.107,Mozilla,0,23,456,1,200,0,0,108
79681,2015-03-01 02:02:31,118.244.228.205,GET,/wap/init.asp,comicId=12626&chapterId=141534&_=1425175352706,120.196.212.107,Mozilla,0,21,456,1,200,0,0,125
79687,2015-03-01 02:02:31,118.244.228.205,GET,/wap/load.asp,comicId=12626&chapterId=141534&imageId=0&_=1425175352708,120.196.212.107,Mozilla,0,26,456,1,200,0,64,105
79909,2015-03-01 02:02:46,118.244.228.205,GET,/wap/load.asp,comicId=12579&chapterId=139668&imageId=32&_=1425174744353,124.161.23.60,Mozilla,0,26,559,1,200,0,64,159
80009,2015-03-01 02:02:51,118.244.228.205,GET,/wap/next.asp,comicId=12480&chapterId=143125&_=1425175322918,209.123.120.198,Mozilla,2,29,908,0,200,0,0,353
80100,2015-03-01 02:03:00,118.244.228.205,GET,/wap/is.asp,-,101.106.239.151,Mozilla,2,22,13,0,200,0,0,82
80158,2015-03-01 02:03:05,118.244.228.205,GET,/wap/load.asp,comicId=12433&chapterId=134225&imageId=10&_=1425175346594,123.151.38.94,Mozilla,0,26,523,1,200,0,64,71
80195,2015-03-01 02:03:07,118.244.228.205,GET,/wap/info.asp,id=12610,219.133.40.13,Mozilla,0,20,950,1,200,0,64,183
80366,2015-03-01 02:03:22,118.244.228.205,GET,/wap/load.asp,comicId=12630&chapterId=141754&imageId=34&_=1425175224450,123.151.64.143,Mozilla,0,26,532,1,200,0,64,67
80394,2015-03-01 02:03:25,118.244.228.205,GET,/wap/search.asp,keyword=%E5%B0%B1%E7%AE%97%E6%98%AF%E5%93%A5%E5%93%A5,101.106.239.151,Mozilla,2,35,13,0,200,0,0,94
80413,2015-03-01 02:03:26,118.244.228.205,GET,/wap/next.asp,comicId=12579&chapterId=139668&_=1425174744365,124.161.23.60,Mozilla,0,29,559,1,200,0,64,104
80432,2015-03-01 02:03:28,118.244.228.205,GET,/wap/read.asp,chapterId=142865&comicId=12591,219.133.40.13,Mozilla,0,31,950,1,200,0,64,181
80449,2015-03-01 02:03:29,118.244.228.205,GET,/wap/record.asp,-,101.106.239.151,Mozilla,2,32,13,0,200,0,0,117
80450,2015-03-01 02:03:29,118.244.228.205,GET,/wap/load.asp,comicId=12445&chapterId=133259&imageId=23&_=1425175214788,111.161.57.31,Mozilla,0,26,143,1,200,0,64,73
80451,2015-03-01 02:03:29,118.244.228.205,GET,/wap/init.asp,comicId=12591&chapterId=142865&_=1425175412961,219.133.40.13,Mozilla,0,21,950,1,200,0,0,105
80452,2015-03-01 02:03:29,118.244.228.205,GET,/wap/lastread.asp,comicId=12591&chapterId=142865&_=1425175412962,219.133.40.13,Mozilla,0,23,950,1,200,0,64,98
80453,2015-03-01 02:03:30,118.244.228.205,GET,/wap/load.asp,comicId=12591&chapterId=142865&imageId=0&_=1425175412963,219.133.40.13,Mozilla,0,26,950,1,200,0,64,112
80539,2015-03-01 02:03:34,118.244.228.205,GET,/wap/info.asp,id=12449,118.119.151.130,Mozilla,1,20,389,1,200,0,0,274
80589,2015-03-01 02:03:39,118.244.228.205,GET,/wap/info.asp,id=12337,122.13.191.234,Mozilla,2,20,483,0,200,0,0,230
80644,2015-03-01 02:03:42,118.244.228.205,GET,/wap/read.asp,chapterId=134853&comicId=12449,118.119.151.130,Mozilla,1,31,389,1,200,0,0,238
80668,2015-03-01 02:03:45,118.244.228.205,GET,/wap/init.asp,comicId=12449&chapterId=134853&_=1425175429991,118.119.151.130,Mozilla,1,21,389,1,200,0,0,96
80669,2015-03-01 02:03:45,118.244.228.205,GET,/wap/lastread.asp,comicId=12449&chapterId=134853&_=1425175429992,118.119.151.130,Mozilla,1,23,389,1,200,0,0,107
80672,2015-03-01 02:03:45,118.244.228.205,GET,/wap/load.asp,comicId=12449&chapterId=134853&imageId=0&_=1425175429993,118.119.151.130,Mozilla,1,26,389,1,200,0,0,121
80713,2015-03-01 02:03:48,118.244.228.205,GET,/wap/read.asp,chapterId=128359&comicId=12337,122.13.191.234,Mozilla,2,31,483,0,200,0,0,189
