,Date & Time,User IP,Method,Url,Query String,Agent IP,Browser Type,OS,Url_Category,Agent_IP_Category,Login Type,HTTP Status,Test1,Win 32 Status,Sub Status
816,2015-03-01 00:04:13,118.244.228.205,GET,/wap/init.asp,comicId=12286&chapterId=124308&_=1425167388053,183.232.118.14,Mozilla,0,21,880,1,200,0,0,107
837,2015-03-01 00:04:14,118.244.228.205,GET,/wap/load.asp,comicId=12448&chapterId=133497&imageId=5&_=1425140222728,123.151.42.52,Mozilla,0,26,529,1,200,0,64,66
851,2015-03-01 00:04:18,118.244.228.205,GET,/wap/next.asp,comicId=12626&chapterId=141556&_=1425168100382,120.196.212.23,Mozilla,0,29,457,1,200,0,64,118
871,2015-03-01 00:04:22,118.244.228.205,GET,/wap/info.asp,id=12486,101.226.66.175,Mozilla,1,20,35,1,200,0,0,140
872,2015-03-01 00:04:22,118.244.228.205,GET,/wap/next.asp,comicId=12630&chapterId=141771&_=1425166117808,114.234.135.92,Mozilla,1,29,276,1,200,0,0,193
874,2015-03-01 00:04:23,118.244.228.205,GET,/wap/init.asp,comicId=12630&chapterId=141772&_=1425166117809,114.234.135.92,Mozilla,1,21,276,1,200,0,0,176
902,2015-03-01 00:04:28,118.244.228.205,GET,/wap/is.asp,-,111.161.52.28,Mozilla,0,22,142,1,200,0,0,63
909,2015-03-01 00:04:29,118.244.228.205,GET,/wap/list.asp,-,120.196.212.23,Mozilla,0,24,457,1,200,0,0,94
923,2015-03-01 00:04:31,118.244.228.205,GET,/wap/list_ajax.asp,page=1,120.196.212.23,Mozilla,0,25,457,1,200,0,0,109
950,2015-03-01 00:04:36,118.244.228.205,GET,/wap/info.asp,id=12554,59.44.12.45,Mozilla,1,20,1190,1,200,0,0,127
1012,2015-03-01 00:04:50,118.244.228.205,GET,/wap/search.asp,keyword=%E5%B0%B8%E5%85%84,111.161.52.28,Mozilla,0,35,142,1,200,0,0,82
1036,2015-03-01 00:04:53,118.244.228.205,GET,/wap/info.asp,id=12654,111.161.52.28,Mozilla,0,20,142,1,200,0,64,123
1123,2015-03-01 00:05:08,118.244.228.205,GET,/wap/read.asp,chapterId=142723&comicId=12654,111.161.52.28,Mozilla,0,31,142,1,200,0,64,159
1128,2015-03-01 00:05:09,118.244.228.205,GET,/wap/init.asp,comicId=12654&chapterId=142723&_=1425168315004,111.161.52.28,Mozilla,0,21,142,1,200,0,0,80
1130,2015-03-01 00:05:09,118.244.228.205,GET,/wap/lastread.asp,comicId=12654&chapterId=142723&_=1425168315005,111.161.52.28,Mozilla,0,23,142,1,200,0,0,89
1219,2015-03-01 00:05:23,118.244.228.205,GET,/wap/init.asp,comicId=12554&chapterId=138860&_=1425168228991,123.151.139.156,Mozilla,0,21,518,1,200,0,0,74
1238,2015-03-01 00:05:26,118.244.228.205,GET,/wap/next.asp,comicId=12441&chapterId=133733&_=1425168137988,14.114.242.208,Mozilla,1,29,604,1,200,0,0,106
1268,2015-03-01 00:05:31,118.244.228.205,GET,/wap/info.asp,id=12441,14.114.242.208,Mozilla,1,20,604,1,200,0,0,186
1281,2015-03-01 00:05:33,118.244.228.205,GET,/wap/next.asp,comicId=12337&chapterId=125670&_=1425136472337,125.39.210.27,Mozilla,0,29,576,1,200,0,64,75
1284,2015-03-01 00:05:34,118.244.228.205,GET,/wap/init.asp,comicId=12337&chapterId=125671&_=1425136472338,125.39.210.27,Mozilla,0,21,576,1,200,0,0,72
1294,2015-03-01 00:05:37,118.244.228.205,GET,/wap/info.asp,id=12450,115.197.218.80,Mozilla,1,20,310,1,200,0,0,1820
1296,2015-03-01 00:05:37,118.244.228.205,GET,/wap/info.asp,id=12337&page=2,125.39.210.27,Mozilla,0,20,576,1,200,0,64,142
1361,2015-03-01 00:06:00,118.244.228.205,GET,/wap/read.asp,chapterId=140946&comicId=12603,112.65.193.14,Mozilla,2,31,199,0,200,0,0,223
1375,2015-03-01 00:06:01,118.244.228.205,GET,/wap/info.asp,id=12633,222.160.158.188,Mozilla,0,20,984,1,200,0,0,131
1452,2015-03-01 00:06:21,118.244.228.205,GET,/wap/next.asp,comicId=12439&chapterId=133059&_=1425138885055,183.195.233.181,Mozilla,0,29,873,1,200,0,64,116
1454,2015-03-01 00:06:21,118.244.228.205,GET,/wap/init.asp,comicId=12439&chapterId=133060&_=1425138885056,183.195.233.181,Mozilla,0,21,873,1,200,0,0,90
1481,2015-03-01 00:06:27,118.244.228.205,GET,/wap/read.asp,chapterId=136063&comicId=12491,180.153.206.31,Mozilla,2,31,823,0,200,0,0,201
1700,2015-03-01 00:07:12,118.244.228.205,GET,/wap/read.asp,chapterId=140318&comicId=12598,101.226.66.174,Mozilla,2,31,34,0,200,0,0,232
